Date - Time (PHT)	Latitude (°N)	Longitude (°E)	Depth of Focus (km)	Magnitude	Location	URL
03 January 2020 - 04:26 AM	10.24	126	021	2.0	024 km N 10° W of Santa Monica (Sapao) (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_2026_B2.html
03 January 2020 - 05:50 AM	07.65	124.92	001	2.3	006 km N 04° E of Kadingilan (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_2150_B2.html
03 January 2020 - 07:22 AM	06.78	125.06	017	2.9	017 km S 88° W of Bansalan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_2322_B2F.html
03 January 2020 - 10:14 AM	07.68	124.93	001	2.3	008 km S 88° W of Don Carlos (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_0214_B2.html
03 January 2020 - 10:44 AM	15.53	121.35	026	2.1	015 km N 16° W of Dingalan (Aurora)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_0244_B2.html
03 January 2020 - 12:29 PM	06.62	125.33	003	2.4	002 km N 37° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_0429_B2F.html
03 January 2020 - 02:13 PM	07.64	124.93	001	2.7	005 km N 07° E of Kadingilan (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_0613_B3F.html
03 January 2020 - 02:48 PM	10.76	126.16	026	2.0	057 km S 58° E of Guiuan (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_0648_B2.html
03 January 2020 - 04:45 PM	13.65	120.57	109	2.4	021 km S 19° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_0845_B2.html
03 January 2020 - 06:45 PM	06.64	125.26	018	2.5	005 km S 71° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1045_B2.html
03 January 2020 - 07:59 PM	06.11	126.6	033	2.5	084 km S 44° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1159_B2.html
03 January 2020 - 08:38 PM	04.66	125.8	102	3.4	092 km S 23° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1238_B2.html
03 January 2020 - 09:34 PM	06.74	125.14	007	2.4	009 km S 54° W of Bansalan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1334_B2.html
03 January 2020 - 10:58 PM	06.78	124.93	029	2.4	003 km S 33° W of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1458_B2.html
03 January 2020 - 11:51 PM	13.88	120.41	067	2.7	025 km N 78° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1551_B2.html
04 January 2020 - 12:15 AM	06.50	125.27	022	2.6	014 km S 38° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1615_B2.html
04 January 2020 - 12:16 AM	06.56	125.17	008	2.8	012 km S 25° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1616_B2.html
04 January 2020 - 12:52 AM	06.60	125.08	033	2.3	016 km N 68° E of Lutayan (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1652_B2.html
04 January 2020 - 01:53 AM	06.86	124.87	023	2.8	005 km N 76° E of Tulunan (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_1753_B2.html
04 January 2020 - 04:44 AM	05.79	125.65	059	3.3	011 km S 19° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_2044_B2.html
04 January 2020 - 05:15 AM	06.63	125.04	026	2.2	013 km N 48° E of Lutayan (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_2115_B2.html
04 January 2020 - 05:33 AM	19.12	121.06	001	2.8	046 km S 67° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_2133_B2.html
04 January 2020 - 07:36 AM	04.63	126.13	118	3.6	115 km S 39° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0103_2336_B2.html
04 January 2020 - 08:12 AM	17.34	120.41	027	2.1	003 km N 70° W of San Esteban (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_0012_B2.html
04 January 2020 - 08:16 AM	06.62	124.82	032	2.8	008 km S 75° E of Tantangan (South Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_0016_B2.html
04 January 2020 - 09:36 AM	09.90	123.66	010	1.8	007 km N 74° E of Argao (Cebu)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_0136_B2.html
04 January 2020 - 10:58 AM	14.04	121.03	002	2.9	006 km S 03° E of Talisay (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_0258_B2F.html
04 January 2020 - 02:47 PM	06.77	125.05	002	3.2	018 km S 85° W of Bansalan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_0647_B2F.html
04 January 2020 - 04:04 PM	09.55	123.83	027	2.3	010 km S 67° E of Panglao (Bohol)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_0804_B2.html
04 January 2020 - 07:39 PM	09.78	126.09	021	2.0	007 km S 90° W of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1139_B2.html
04 January 2020 - 08:04 PM	14.02	121.03	004	2.4	008 km S 05° E of Talisay (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1204_B2F_Volcanic.html
04 January 2020 - 08:32 PM	06.44	125.34	003	2.9	022 km N 28° E of Malungon (Sarangani)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1232_B2F.html
04 January 2020 - 08:40 PM	06.54	125.31	011	3.5	013 km S 61° W of Malalag (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1240_B2F.html
04 January 2020 - 09:39 PM	06.68	125.22	032	2.5	003 km N 06° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1339_B2.html
04 January 2020 - 10:52 PM	06.47	125.29	032	2.3	015 km S 22° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1452_B2.html
04 January 2020 - 11:08 PM	06.48	125.09	026	3.1	024 km S 36° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1508_B2.html
04 January 2020 - 11:58 PM	06.65	125.58	014	2.4	016 km N 49° E of Santa Maria (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1558_B2.html
05 January 2020 - 12:09 AM	06.57	125.31	002	3.3	005 km S 49° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1609_B2.html
05 January 2020 - 01:27 AM	08.62	125.65	030	3.5	017 km N 34° W of San Luis (Agusan Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1727_B2.html
05 January 2020 - 02:28 AM	06.77	125.09	011	2.9	016 km S 74° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1828_B2.html
05 January 2020 - 02:30 AM	11.77	125.38	064	3.0	008 km N 80° W of San Julian (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1830_B2.html
05 January 2020 - 02:46 AM	10.84	124.58	034	1.6	005 km N 20° E of Pilar (Cebu)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1846_B2.html
05 January 2020 - 03:31 AM	13.20	122.34	006	3.0	025 km S 49° W of San Francisco (Aurora) (Quezon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_1931_B2.html
05 January 2020 - 06:24 AM	09.93	122.54	065	3.2	010 km S 65° W of Cauayan (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_2224_B2.html
05 January 2020 - 07:22 AM	06.80	125.06	011	2.3	013 km S 85° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_2322_B2.html
05 January 2020 - 07:25 AM	14.03	121	001	3.3	008 km S 24° W of Talisay (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_2325_B2F_Volcanic.html
05 January 2020 - 07:46 AM	06.48	125.29	032	2.9	014 km S 23° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0104_2346_B2.html
05 January 2020 - 11:57 AM	06.83	124.99	010	2.5	006 km N 62° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_0357_B2.html
05 January 2020 - 03:40 PM	04.18	126.45	001	3.6	176 km S 38° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_0740_B2.html
05 January 2020 - 04:21 PM	06.72	125.07	015	2.4	017 km S 56° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_0821_B2F.html
05 January 2020 - 04:57 PM	06.64	126.2	054	2.0	014 km S 84° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_0857_B2.html
05 January 2020 - 06:24 PM	06.65	125.26	003	3.1	005 km S 85° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1024_B2.html
05 January 2020 - 07:03 PM	12.37	124.39	022	4.3	006 km S 81° E of San Isidro (Northern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1103_B3F.html
05 January 2020 - 07:34 PM	06.64	126.69	073	2.4	053 km S 31° E of Tarragona (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1134_B2.html
05 January 2020 - 07:42 PM	08.58	126.5	020	2.0	030 km N 37° E of Hinatuan (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1142_B2.html
05 January 2020 - 09:55 PM	13.76	120.23	021	1.9	004 km N 25° W of Looc (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1355_B2.html
05 January 2020 - 10:41 PM	06.79	126.24	022	2.3	018 km S 07° E of Mati City (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1441_B2.html
06 January 2020 - 12:26 AM	13.07	120.28	025	2.2	038 km S 63° W of Mamburao (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1626_B2.html
06 January 2020 - 02:58 AM	06.01	126.35	058	5.4	077 km S 23° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1858_B3F.html
06 January 2020 - 03:48 AM	09.84	125.97	030	2.2	004 km S 03° E of Del Carmen (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_1948_B2.html
06 January 2020 - 07:51 AM	06.40	125.95	132	2.4	031 km S 27° W of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0105_2351_B2.html
06 January 2020 - 09:39 AM	09.87	126.08	005	2.4	002 km N 78° W of Pilar (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0139_B2.html
06 January 2020 - 09:44 AM	06.58	125.14	031	2.3	012 km S 46° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0144_B2.html
06 January 2020 - 09:45 AM	14.01	121.02	007	1.9	009 km S 06° W of Talisay (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0145_B2.html
06 January 2020 - 10:10 AM	06.60	125.28	009	3.1	007 km S 89° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0210_B2F.html
06 January 2020 - 10:58 AM	06.11	126.24	051	3.7	063 km S 17° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0258_B2F.html
06 January 2020 - 11:12 AM	09.86	126.12	022	2.0	010 km N 24° W of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0312_B2.html
06 January 2020 - 11:29 AM	15.25	120.23	033	2.2	027 km N 40° E of San Felipe (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0329_B2.html
06 January 2020 - 12:07 PM	09.70	122.3	009	2.5	014 km S 60° W of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0407_B2.html
06 January 2020 - 12:38 PM	06.68	125.22	009	2.4	003 km N 06° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0438_B2F.html
06 January 2020 - 02:03 PM	05.92	126.76	013	3.1	110 km S 43° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0603_B2.html
06 January 2020 - 02:34 PM	15.22	123.07	034	2.4	093 km N 53° E of Jomalig (Quezon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0634_B2.html
06 January 2020 - 03:25 PM	05.45	125.52	001	5.0	006 km N 73° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0725_B3F.html
06 January 2020 - 03:55 PM	06.56	124.74	033	2.6	009 km S 02° W of Tantangan (South Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0755_B2.html
06 January 2020 - 05:18 PM	06.66	125.16	021	2.6	008 km S 47° W of Magsaysay (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_0918_B2F.html
06 January 2020 - 06:45 PM	06.61	125.23	017	2.7	014 km S 76° W of Padada (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_1045_B2.html
06 January 2020 - 06:56 PM	06.52	125.15	031	2.3	017 km S 24° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_1056_B2.html
06 January 2020 - 07:08 PM	06.03	126.39	033	2.2	077 km S 27° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_1108_B2.html
06 January 2020 - 07:22 PM	06.57	125.25	018	2.5	011 km S 21° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0106_1122_B2.html
